,len,freq,err,condition,pred
1,1,0.59,0.266,volatile.acidity<=0.524785801713586,1
2,2,0.188,0.327,volatile.acidity>0.524785801713586 & alcohol<=0.306335204490778,0
3,1,0.566,0.195,alcohol>0.306335204490778,1
4,1,0.217,0.077,alcohol>0.542635658914733,1
5,1,0.486,0.245,volatile.acidity<=0.462821297429621,1
6,2,0.316,0.411,volatile.acidity>0.462821297429621 & alcohol<=0.424819566960706,0
7,1,0.386,0.132,alcohol>0.424819566960706,1
8,1,0.386,0.132,alcohol>0.424819566960706,1
9,1,0.637,0.274,volatile.acidity<=0.527692778457772,1
10,2,0.207,0.348,volatile.acidity>0.527692778457772 & alcohol<=0.395950280673617,0
11,1,0.436,0.152,alcohol>0.395950280673617,1
12,1,0.436,0.152,alcohol>0.395950280673617,1
13,1,0.537,0.254,volatile.acidity<=0.487607099143207,1
14,1,0.292,0.245,sulphates>0.603921568627451,1
15,2,0.281,0.394,volatile.acidity>0.487607099143207 & alcohol<=0.424418604651163,0
16,1,0.545,0.191,alcohol>0.317963111467522,1
17,2,0.006,0.217,total.sulfur.dioxide<=0.359913793103448 & fbtso2<=0.125597380427388,0
18,1,0.704,0.347,total.sulfur.dioxide>0.359913793103448,1
19,1,0.386,0.132,alcohol>0.424418604651163,1
20,1,0.386,0.132,alcohol>0.424418604651163,1
21,1,0.614,0.459,alcohol<=0.424418604651163,1
22,1,0.386,0.132,alcohol>0.424418604651163,1
23,1,0.637,0.274,volatile.acidity<=0.527692778457772,1
24,2,0.104,0.351,alcohol<=0.336206896551724 & is.red>0.5,0
25,2,0.18,0.321,volatile.acidity>0.527692778457772 & alcohol<=0.336206896551724,0
26,2,0.18,0.321,volatile.acidity>0.527692778457772 & alcohol<=0.336206896551724,0
27,1,0.523,0.181,alcohol>0.336206896551724,1
28,1,0.523,0.181,alcohol>0.336206896551724,1
29,1,0.217,0.077,alcohol>0.542635658914733,1
30,1,0.217,0.077,alcohol>0.542635658914733,1
31,1,0.583,0.467,alcohol<=0.405172413793103,1
32,1,0.417,0.146,alcohol>0.405172413793103,1
33,1,0.614,0.459,alcohol<=0.424418604651163,1
34,1,0.386,0.132,alcohol>0.424418604651163,1
35,1,0.578,0.262,volatile.acidity<=0.5,1
36,1,0.578,0.262,volatile.acidity<=0.5,1
